DistilBERT Weight,TF-IDF Weight,Accuracy,Precision,Recall,F1,Threshold,Threshold Distance,Weight Balance Distance
0.2,0.8,0.877,0.8327464788732394,0.9441117764471058,0.8849391955098223,0.4300000000000001,0.0699999999999999,0.3
0.07500000000000001,0.925,0.884,0.8796844181459567,0.8902195608782435,0.8849206349206349,0.5000000000000002,2.220446049250313e-16,0.425
0.30000000000000004,0.7,0.884,0.8796844181459567,0.8902195608782435,0.8849206349206349,0.49500000000000016,0.004999999999999838,0.19999999999999996
0.225,0.775,0.878,0.8389982110912343,0.936127744510978,0.8849056603773585,0.4400000000000001,0.05999999999999989,0.275
0.07500000000000001,0.925,0.882,0.8661567877629063,0.9041916167664671,0.884765625,0.48000000000000015,0.01999999999999985,0.425
0.30000000000000004,0.7,0.879,0.8467153284671532,0.9261477045908184,0.8846520495710201,0.4500000000000001,0.04999999999999988,0.19999999999999996
0.05,0.95,0.88,0.8534322820037106,0.9181636726546906,0.8846153846153846,0.46500000000000014,0.034999999999999865,0.45
0.17500000000000002,0.825,0.876,0.8289703315881326,0.9481037924151696,0.8845437616387337,0.4300000000000001,0.0699999999999999,0.32499999999999996
0.17500000000000002,0.825,0.877,0.8351063829787234,0.9401197604790419,0.8845070422535212,0.4350000000000001,0.06499999999999989,0.32499999999999996
0.25,0.75,0.877,0.8351063829787234,0.9401197604790419,0.8845070422535212,0.4300000000000001,0.0699999999999999,0.25
0.30000000000000004,0.7,0.883,0.875,0.8942115768463074,0.8845014807502468,0.49000000000000016,0.009999999999999842,0.19999999999999996
0.07500000000000001,0.925,0.878,0.8414414414414414,0.9321357285429142,0.884469696969697,0.4500000000000001,0.04999999999999988,0.425
0.325,0.675,0.884,0.882703777335984,0.8862275449101796,0.8844621513944223,0.5000000000000002,2.220446049250313e-16,0.175
0.1,0.9,0.884,0.882703777335984,0.8862275449101796,0.8844621513944223,0.5050000000000001,0.0050000000000001155,0.4
0.125,0.875,0.887,0.907563025210084,0.8622754491017964,0.8843398157625384,0.5400000000000003,0.04000000000000026,0.375
0.15000000000000002,0.85,0.876,0.830122591943958,0.9461077844311377,0.8843283582089553,0.4300000000000001,0.0699999999999999,0.35
0.325,0.675,0.882,0.8689788053949904,0.9001996007984032,0.884313725490196,0.48500000000000015,0.014999999999999847,0.175
0.15000000000000002,0.85,0.888,0.9164882226980728,0.8542914171656687,0.8842975206611571,0.5450000000000002,0.04500000000000015,0.35
0.17500000000000002,0.825,0.877,0.8362989323843416,0.93812375249501,0.8842897460018815,0.4400000000000001,0.05999999999999989,0.32499999999999996
0.225,0.775,0.876,0.8312829525483304,0.9441117764471058,0.8841121495327103,0.4300000000000001,0.0699999999999999,0.275
0.07500000000000001,0.925,0.877,0.8375,0.936127744510978,0.884071630537229,0.4450000000000001,0.05499999999999988,0.425
0.275,0.725,0.878,0.8439201451905626,0.9281437125748503,0.8840304182509505,0.4450000000000001,0.05499999999999988,0.22499999999999998
0.325,0.675,0.88,0.8574108818011257,0.9121756487025948,0.8839458413926499,0.46500000000000014,0.034999999999999865,0.175
0.275,0.725,0.887,0.9110169491525424,0.8582834331337326,0.8838643371017472,0.5350000000000001,0.03500000000000014,0.22499999999999998
0.25,0.75,0.877,0.8387096774193549,0.9341317365269461,0.8838526912181303,0.4400000000000001,0.05999999999999989,0.25
0.1,0.9,0.877,0.8387096774193549,0.9341317365269461,0.8838526912181303,0.4400000000000001,0.05999999999999989,0.4
0.25,0.75,0.877,0.8387096774193549,0.9341317365269461,0.8838526912181303,0.4350000000000001,0.06499999999999989,0.25
0.275,0.725,0.878,0.8451730418943534,0.9261477045908184,0.8838095238095238,0.4500000000000001,0.04999999999999988,0.22499999999999998
0.25,0.75,0.878,0.8451730418943534,0.9261477045908184,0.8838095238095238,0.4500000000000001,0.04999999999999988,0.25
0.07500000000000001,0.925,0.884,0.8873239436619719,0.8802395209580839,0.8837675350701403,0.5150000000000001,0.015000000000000124,0.425
0.125,0.875,0.875,0.8275261324041812,0.9481037924151696,0.8837209302325582,0.4300000000000001,0.0699999999999999,0.375
0.1,0.9,0.875,0.8275261324041812,0.9481037924151696,0.8837209302325582,0.4300000000000001,0.0699999999999999,0.4
0.125,0.875,0.876,0.8336283185840708,0.9401197604790419,0.8836772983114447,0.4350000000000001,0.06499999999999989,0.375
0.05,0.95,0.881,0.8659003831417624,0.9021956087824351,0.8836754643206256,0.48500000000000015,0.014999999999999847,0.45
0.25,0.75,0.875,0.8286713286713286,0.9461077844311377,0.8835041938490215,0.4250000000000001,0.0749999999999999,0.25
0.325,0.675,0.876,0.8348134991119005,0.93812375249501,0.8834586466165414,0.4200000000000001,0.0799999999999999,0.175
0.07500000000000001,0.925,0.881,0.8673076923076923,0.9001996007984032,0.8834476003917727,0.48500000000000015,0.014999999999999847,0.425
0.35000000000000003,0.6499999999999999,0.882,0.8747553816046967,0.8922155688622755,0.883399209486166,0.49500000000000016,0.004999999999999838,0.14999999999999997
0.25,0.75,0.887,0.9145299145299145,0.8542914171656687,0.8833849329205367,0.5350000000000001,0.03500000000000014,0.25
